Links,Texts
https://navavani.org.in/wp/archives/18678,AMMA इति मलयालचलचित्राभिनेतृसङ्घटनस्य अध्यक्षस्थानं मोहन् लालः अहासीत्।सङ्घटनस्य निर्वाहकसमितिं उदसृजत्।
https://navavani.org.in/wp/archives/18653,राज्यस्तरीयाः चलचित्रपुरस्काराः घोषिताः
https://navavani.org.in/wp/archives/18641,"८,९ कक्ष्यायोः सम्पूर्णोत्तरणं न भविता। दशमकक्ष्यायां उत्तारणाय न्यूनतमाङ्कः अवश्यं करिष्यतिl"
https://navavani.org.in/wp/archives/18631,वयनाट् देशे प्रकृतिदुरन्तेभ्यः पीडितानां छात्राणाम् अध्ययनाय सुविधाः आयोजयिष्यति- मन्त्री शिवन् कुट्टि वर्यः।
https://navavani.org.in/wp/archives/18609,डा-हरिप्रसाद् कटम्बूर् वर्याय साहित्यप्रतिभापुरस्कारः।
https://navavani.org.in/wp/archives/18568,कोषिक्कोट् नगरं राष्ट्रे प्रथमं साहित्यनगरम्।
https://navavani.org.in/wp/archives/18548,डा के जि पौलोस् वर्यः केन्द्र साहित्य अक्कादमीसंस्थया भाषासम्मान् पुरस्कारेण समादृतः।
https://navavani.org.in/wp/archives/18520,हिमालयसानुषु संस्कृतालेखितः ध्वजः आरोपितः।
https://navavani.org.in/wp/archives/18501,छात्रैः साकं रक्षितारोपि पठेयुः।
https://navavani.org.in/wp/archives/18490,अशोकन् पुरनाट्टुकरा अनुस्मरणम् पुरस्कारसमर्पणञ्च ।
https://navavani.org.in/wp/archives/18479,अशोकन् पुरनाट्टुकरा -भारतमुद्रा पुरस्कारः 2024 घोषितः ।
https://navavani.org.in/wp/archives/18437,सरस्वतीसम्मान् प्रभावर्मा वर्याय। द्वादशवर्षानन्तरमेव कैरलीसाहित्यस्य पुरस्कारप्राप्तिः।
https://navavani.org.in/wp/archives/18434,डाः नारायणः गुरुवायूर् वेदपठनकेन्द्रस्य निदेशकत्वेन नियोजितः ।
https://navavani.org.in/wp/archives/18431,२०२४-२५ अध्ययनवर्षस्य कृते पाठ्यपुस्तकानि सज्जानि- शिक्षामन्त्री।
